"Source","Start_Time","Start_Lat","Start_Lng","Description","Street","City","County","State","Humidity...","Pressure.in.","Wind_Direction","Wind_Speed.mph.","Precipitation.in.","Weather_Condition","Amenity","Crossing","Junction","Railway","Station","Stop","Traffic_Signal","Visibility_Category","Severity_Category","is_day_light","Distance.km.","Temperature.C.","Wind_Chill.C.","duration","Start_Date","idx_original","Start_Time_Cat","hospital_nearby","traffic_light_nearby","traffic_sign_nearby","police_nearby","commercial_area_nearby","school_zone_nearby"
"Source2","03:01:47",41.268185,-73.807411,"Right hand shoulder blocked due to accident on Taconic State Pkwy Northbound at Baldwin Rd.","Baldwin Rd","Yorktown Heights","Westchester","NY",86,30.19,"NNW",8.1,0.01,"Clear","False","False","False","False","False","False","False","Bona_Visibilitat","Poc impacte",0,0,11.111,-1.667,29.7666666666667,"2017-09-09",23,"Mañana","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source2","15:46:23",39.909157,-74.984383,"Left hand shoulder closed due to accident on I-295 Northbound at Exits 34A 34B NJ-70 Marlton Pike.","Marlton Pike E","Cherry Hill","Camden","NJ",37,30.1,"SE",6.9,0.15,"Clear","False","False","False","False","False","False","False","Bona_Visibilitat","Impacte considerable",1,0,28.889,-13.167,29.5833333333333,"2018-07-20",24,"Tarde","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE"
"Source2","06:23:14",43.149895,-77.690964,"Accident on NY-33 Buffalo Rd at Howard Rd.","Howard Rd","Rochester","Monroe","NY",84,30.08,"Variable",5.8,0,"Mostly Cloudy","False","False","False","False","False","False","True","Bona_Visibilitat","Poc impacte",0,0,-3.278,-7,47,"2018-04-05",25,"Mañana","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source2","08:05:56",41.292393,-73.85463,"Right hand shoulder blocked due to accident on US-202 Crompond Rd Eastbound near Lexington Ave.","Crompond Rd","Cortlandt Manor","Westchester","NY",80,30.05,"NW",6.9,0.02,"Clear","False","False","False","False","False","False","True","Bona_Visibilitat","Poc impacte",1,0,15.611,1.778,29.65,"2017-09-12",26,"Mañana","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source2","07:28:35",43.139416,-77.668304,"Accident on I-390 Southbound at Exit 19 NY-33A Chili Ave.","I-390 S","Rochester","Monroe","NY",89,30.03,"ESE",4.6,0,"Overcast","False","False","True","False","False","False","False","Bona_Visibilitat","Poc impacte",1,0,0.611,-1.833,29.6,"2018-11-30",27,"Mañana","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source2","07:06:24",40.772495,-74.204781,"Left lane blocked due to accident on Garden State Pkwy Northbound before Exit 147 Parkway Dr.","N Walnut St","East Orange","Essex","NJ",82,30.01,"WSW",11.5,0,"Mostly Cloudy","False","False","False","False","False","False","False","Bona_Visibilitat","Poc impacte",0,0,7.222,4.056,29.4833333333333,"2018-10-17",28,"Mañana","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE"
"Source1","02:48:14",40.52866,-74.33744,"Ramp to RT-440 NB and I-287 Northbound - Accident.","NJ-440 S","Edison","Middlesex","NJ",55,30.11,"Calm",0,0.02,"Clear","False","False","False","False","False","False","False","Bona_Visibilitat","Impacte considerable",0,0.346,22.889,-13.167,360,"2017-07-05",29,"Mañana","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE"
"Source1","07:17:28",40.99074,-73.83926,"At Jackson Ave - Accident. Left lane blocked.","Sprain Brook Pkwy S","Scarsdale","Westchester","NY",82,30.07,"NW",8.1,0.06,"Clear","False","False","False","False","False","False","False","Bona_Visibilitat","Poc impacte",1,0.488,6.111,3.444,360,"2018-02-26",30,"Mañana","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source2","09:17:17",40.739216,-73.792992,"Left lane blocked due to accident on I-495 Long Island Expy Westbound at Exit 25 Horace Harding Expy.","Utopia Pkwy","Fresh Meadows","Queens","NY",41,30.01,"NW",18.4,0.01,"Mostly Cloudy","False","True","False","False","False","False","True","Bona_Visibilitat","Impacte considerable",1,0,10,4.167,29.6833333333333,"2018-04-30",31,"Mañana","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE"
"Source2","16:54:46",41.079632,-73.921959,"Accident on I-287 Southbound between Exit 9 US-9 Broadway and Exit 10 US-9W.","Route 9W S","Nyack","Rockland","NY",77,29.8,"South",3.5,0.03,"Clear","False","False","False","False","False","False","False","Bona_Visibilitat","Impacte considerable",1,5.955,9.389,-3.778,45,"2017-01-21",32,"Tarde","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"Source1","05:18:27",40.84507,-73.91626,"At Jerome Ave/Exit 2A - Accident.","Cross Bronx Expy E","Bronx","Bronx","NY",68,30.17,"NNE",9.2,0,"Clear","False","False","True","False","False","False","False","Bona_Visibilitat","Impacte considerable",0,0.34,7.222,4.5,360,"2017-11-07",33,"Mañana","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE"
"Source1","12:26:13",40.72746,-74.02147,"At New Jersey/New York State Line - Accident. Roadway reduced to 2 lanes.","Holland Tunl E","Jersey City","Hudson","NJ",68,30.41,"North",11.5,0,"Overcast","False","False","False","False","False","False","False","Bona_Visibilitat","Impacte considerable",1,0.018,18,2.556,360,"2018-06-04",34,"Tarde","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"Source2","16:09:20",42.856419,-70.896835,"Accident on I-495 Southbound before I-95.","I-495 N","Salisbury","Essex","MA",59,30.2,"Calm",0,0,"Overcast","False","False","False","False","False","False","False","Bona_Visibilitat","Impacte considerable",1,0,8.278,2.056,59.75,"2017-11-07",35,"Tarde","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source1","15:06:46",40.771189,-73.918395,"At I-278-TRUCK/Hoyt Ave/Astoria Blvd N - Accident.","Robert F Kennedy Brg E","Astoria","Queens","NY",30,29.83,"NW",10.4,0.36,"Clear","False","False","False","False","False","False","False","Bona_Visibilitat","Poc impacte",1,0,7.222,4.278,360,"2017-03-02",36,"Tarde","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE"
"Source2","12:33:48",43.139725,-77.596046,"Accident on Clinton Ave Southbound at Goodman St.","Goodman St S","Rochester","Monroe","NY",65,29.83,"WNW",11.5,0.01,"Mostly Cloudy","True","True","False","False","False","False","True","Bona_Visibilitat","Poc impacte",1,0,28.278,0.722,29.4833333333333,"2018-09-18",37,"Tarde","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source2","05:41:04",43.244534,-77.911789,"Accident on Gilmore Rd at Amy Ln.","Leanna Cres","Brockport","Monroe","NY",93,30.07,"WSW",3.5,0.04,"Clear","False","False","False","False","False","False","False","Bona_Visibilitat","Poc impacte",0,0,15.611,-11.278,29.6333333333333,"2018-07-20",38,"Mañana","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source1","12:57:47",40.90927,-73.06498,"Closed at Broadway - Road closed due to accident."," Nesconset Hwy","Port Jefferson Station","Suffolk","NY",78,29.86,"South",9.2,0.01,"Partly Cloudy","False","True","False","False","False","False","True","Bona_Visibilitat","Impacte molt fort/alt",1,0.193,14.389,-2.833,360,"2018-04-28",39,"Tarde","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source1","19:05:05",41.23572,-74.411825,"Closed at Fancher Rd - Road closed due to accident.","Covered Bridge Rd","Warwick","Orange","NY",27,29.73,"WNW",4.6,0.01,"Clear","False","False","False","False","False","False","False","Bona_Visibilitat","Impacte molt fort/alt",1,0.66,6.111,4.611,360,"2018-03-17",40,"Noche","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source1","07:47:30",42.536,-71.49566,"At RT-2A/RT-110/King St/Exit 30 - Multi-vehicle accident involving vehicle. Left lane blocked.","I-495 N","Littleton","Middlesex","MA",93,29.96,"NE",4.6,0,"Mist","False","False","False","False","False","False","False","Molt_Poca_Visibilitat","Poc impacte",1,0.449,4,2.167,29.3166666666667,"2018-11-26",41,"Mañana","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE"
"Source2","05:51:24",42.476616,-71.219772,"Accident on US-3 Southbound before I-495 Blue Star Memorial Hwy.","MA-128 S","Burlington","Middlesex","MA",100,30.07,"Calm",0,0.06,"Mist","False","False","False","False","False","False","False","Molt_Poca_Visibilitat","Poc impacte",1,0,10.611,-1.222,29.7833333333333,"2018-05-16",42,"Mañana","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE"
"Source2","07:56:00",40.956432,-73.830795,"Accident on Bronx River Pkwy Northbound after Exit 4 Scarsdale Rd.","Bronx River Pkwy","Tuckahoe","Westchester","NY",59,29.91,"WSW",6.9,0.06,"Scattered Clouds","False","True","False","False","False","False","True","Bona_Visibilitat","Poc impacte",1,0.016,2.778,-0.222,30.75,"2017-02-01",43,"Mañana","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source2","06:47:49",39.477711,-74.548576,"Accident on County Hwy-561 Jimmie Leeds Rd near Vera King Farris Dr.","W Jimmie Leeds Rd","Absecon","Atlantic","NJ",82,30.11,"SW",3.5,0.03,"Clear","False","False","False","False","False","False","False","Bona_Visibilitat","Poc impacte",1,0,6.722,5.833,29.7333333333333,"2018-04-12",44,"Mañana","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"Source2","11:40:07",43.158901,-77.607132,"Accident on Clinton Ave at Mortimer St.","N Clinton Ave","Rochester","Monroe","NY",58,30.15,"West",19.6,0.05,"Mostly Cloudy","False","False","False","False","False","False","False","Bona_Visibilitat","Poc impacte",1,0,7.778,3.611,29.75,"2018-10-16",45,"Mañana","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source2","15:50:33",40.976921,-73.698959,"Accident on I-95 Northbound around Exit 19 Playland Pkwy.","New England Trwy S","Rye","Westchester","NY",24,30.09,"WNW",10.4,0,"Clear","False","False","False","False","False","False","False","Bona_Visibilitat","Impacte considerable",1,0,22.222,3.444,44.8833333333333,"2017-10-20",46,"Tarde","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source2","13:01:53",40.845055,-73.916702,"Queueing traffic and restrictions due to accident on I-95 Cross Bronx Expy Northbound at Exit 2A - Jerome Avenue.","Cross Bronx Expy E","Bronx","Bronx","NY",50,30.35,"NW",12.7,0.03,"Scattered Clouds","False","False","True","False","False","False","False","Bona_Visibilitat","Impacte considerable",1,0,0,-5.278,44.2,"2018-02-08",47,"Tarde","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE"
"Source2","17:40:26",43.156464,-77.620476,"One lane blocked due to accident on Inner Loop Westbound from State St to I-490.","Oak St","Rochester","Monroe","NY",85,30.2,"SSE",3.5,0,"Overcast","False","False","False","False","False","False","False","Bona_Visibilitat","Poc impacte",0,0.885,-1.111,-3.056,29.5666666666667,"2018-12-10",48,"Tarde","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source1","00:46:00",42.4861,-76.57341,"Closed at CR-177/Iradell Rd - Road closed due to accident."," Trumansburg Rd","Ithaca","Tompkins","NY",75,29.86,"NW",15,0.01,"Mostly Cloudy","False","False","False","False","False","False","False","Bona_Visibilitat","Impacte molt fort/alt",0,1.172,0,-5.778,360,"2017-12-20",49,"Mañana","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source1","15:20:10",43.07829,-76.17245,"At Exit 22/Exit 23 - Accident. Left lane blocked.","I-81 N","Syracuse","Onondaga","NY",60,29.9,"SSW",15,0.01,"Mostly Cloudy","False","False","False","False","False","False","False","Bona_Visibilitat","Poc impacte",1,0.499,27.778,4.167,29.75,"2018-10-10",50,"Tarde","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source2","14:54:55",40.728443,-73.883453,"Right lane blocked due to accident on I-495 Long Island Expy Eastbound before 80th St.","Long Island Expy E","Elmhurst","Queens","NY",76,30.14,"NE",13.8,0,"Scattered Clouds","False","False","False","False","False","False","False","Bona_Visibilitat","Impacte considerable",1,0,21.111,1.611,29.3,"2018-05-30",51,"Tarde","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE"
"Source2","15:21:28",41.292274,-73.821365,"Right hand shoulder blocked due to accident on Taconic State Pkwy Southbound at US-202 Crompond Rd.","Crompond Rd","Yorktown Heights","Westchester","NY",93,29.56,"SE",16.1,0.19,"Rain","False","False","False","False","False","False","False","Molt_Poca_Visibilitat","Poc impacte",1,0,17.778,-4.722,29.5833333333333,"2017-10-29",52,"Tarde","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source1","16:37:25",41.518959,-73.986759,"At Newburgh-Beacon Brg - Accident.","Beacon Brg W","Beacon","Dutchess","NY",83,29.66,"SW",9.2,0.05,"Mostly Cloudy","False","False","False","False","False","False","False","Exelent_Visibilitat","Poc impacte",1,1.963,26,2.111,360,"2017-06-23",53,"Tarde","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source2","02:23:38",40.976921,-73.698959,"Accident on I-95 Northbound at Exit 19 Playland Pkwy.","New England Trwy S","Rye","Westchester","NY",93,29.89,"Calm",0,0,"Mostly Cloudy","False","False","False","False","False","False","False","Bona_Visibilitat","Impacte considerable",0,0,21.722,-5.722,29.25,"2017-07-02",54,"Mañana","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source2","17:23:00",39.857006,-74.94986,"Restrictions due to accident on County Hwy-675 Cooper Rd Southbound at Centennial Blvd.","Cooper Rd","Voorhees","Camden","NJ",20,30.54,"WSW",9.2,9.99,"Clear","False","False","False","False","False","False","True","Bona_Visibilitat","Poc impacte",1,0.016,5.611,2.556,44.75,"2017-03-23",55,"Tarde","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"Source2","10:03:04",42.347416,-71.231949,"Left lane blocked due to accident on I-90 Eastbound after Exit 16 MA-16 Washington St.","I-90 E","West Newton","Middlesex","MA",73,30.31,"SSW",8.1,0.12,"Mostly Cloudy","False","False","False","False","False","False","False","Bona_Visibilitat","Impacte considerable",1,0,2.778,-0.556,29.8166666666667,"2018-02-14",56,"Mañana","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE"
"Source1","17:27:46",42.971738,-73.377426,"Closed at RT-67/CR-69/White Creek Rd - Road closed due to accident."," State Route 22","Eagle Bridge","Washington","NY",89,29.76,"Calm",0,0,"Partly Cloudy","False","False","False","False","False","False","False","Bona_Visibilitat","Impacte molt fort/alt",0,2.26,5.611,3.056,360,"2017-01-21",57,"Tarde","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source1","16:06:07",40.0636,-74.13687,"At Pier Ave - Accident.","NJ-70","Brick","Ocean","NJ",35,29.95,"WSW",13.8,0,"Clear","False","False","False","False","False","False","True","Bona_Visibilitat","Poc impacte",1,0,32.778,-0.833,360,"2017-05-17",58,"Tarde","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE"
"Source1","04:44:31",40.33635,-74.63219,"Closed at Lower Harrison St - Road closed due to accident."," US Highway 1","Princeton","Mercer","NJ",80,29.98,"Calm",0,0,"Scattered Clouds","False","False","False","False","False","False","False","Bona_Visibilitat","Impacte molt fort/alt",0,0.063,15.611,0.833,360,"2017-06-15",59,"Mañana","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE"
"Source2","08:34:58",42.516209,-73.571999,"One lane blocked due to accident on US-20 Westbound near Lords Hill Rd.","Old US Highway 20","Nassau","Rensselaer","NY",56,29.98,"Variable",3.5,0.01,"Clear","False","False","False","False","False","False","False","Bona_Visibilitat","Poc impacte",1,0.016,9.389,-5.444,44.6666666666667,"2017-05-11",60,"Mañana","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source2","13:51:23",42.694733,-73.70993,"One lane blocked due to accident on I-787 Southbound at Exits 7E 7W NY-378.","I-787 S","Albany","Albany","NY",58,30.06,"NW",13.8,0,"Mostly Cloudy","False","False","True","False","False","False","False","Bona_Visibilitat","Impacte considerable",1,0,7.778,4.389,29.6666666666667,"2018-10-30",61,"Tarde","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source2","20:48:50",39.425617,-74.992096,"Accident on County Hwy-673 Hance Bridge Rd at Pennsylvania Ave.","Pennsylvania Ave","Vineland","Cumberland","NJ",100,29.82,"Calm",0,0,"Overcast","False","False","False","False","False","False","False","Bona_Visibilitat","Poc impacte",0,0,16.111,-2.833,44.85,"2017-04-26",62,"Noche","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source2","04:36:13",39.396797,-74.51416,"Two lanes blocked due to accident on Atlantic City Expy Westbound at Exit 4 Franklin Blvd.","Atlantic City Expy W","Pleasantville","Atlantic","NJ",89,30.38,"Calm",0,0.01,"Clear","False","False","False","False","False","False","False","Bona_Visibilitat","Poc impacte",0,0,3.278,-14.778,29.5,"2018-04-22",63,"Mañana","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE"
"Source2","08:02:25",39.874603,-75.044884,"Right hand shoulder blocked due to accident on I-295 Northbound at Exits 29 29B County Hwy-666 Copley Rd.","I-295 N","Barrington","Camden","NJ",74,30.46,"Calm",0,0.2,"Scattered Clouds","False","False","False","False","False","False","False","Bona_Visibilitat","Impacte considerable",1,0,8.889,-5.722,29.2666666666667,"2018-04-23",64,"Mañana","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE"
"Source2","05:07:50",40.651638,-73.865768,"Accident on Belt Pkwy Eastbound at Exit 15 Erskine St.","Erskine St","Brooklyn","Kings","NY",100,30.21,"NE",11.5,0.11,"Rain","False","False","False","False","False","False","False","Molt_Poca_Visibilitat","Poc impacte",0,0,13.278,3,29.85,"2018-09-10",65,"Mañana","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE"
"Source2","10:09:51",43.026516,-76.1623,"Accident on Centennial Dr between NY-175 South Ave and Onondaga Ave.","Onondaga Ave","Syracuse","Onondaga","NY",78,29.92,"NE",6.9,0,"Overcast","False","False","False","False","False","True","False","Bona_Visibilitat","Poc impacte",1,0,21.722,-5.722,28.65,"2017-07-28",66,"Mañana","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Source1","15:41:43",40.80737,-74.13991,"At Park Ave/Exit 8 - Accident.","NJ-21 S","Nutley","Essex","NJ",65,29.99,"WNW",5.8,0,"Overcast","False","False","False","False","False","False","False","Bona_Visibilitat","Poc impacte",1,0.806,7.222,5.444,360,"2017-01-19",67,"Tarde","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
